timestamp,sno,sarea,sna,latitude,longitude,total,available_rent_bikes,available_return_bikes,act,srcUpdateTime
2025-05-24T20:35+00:00,500112031,信義區,YouBike2.0_市府松壽路口,25.03627,121.56383,28,2,26,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112042,信義區,YouBike2.0_松高路(信義新天地A4館),25.03918,121.56654,17,9,8,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112067,信義區,YouBike2.0_松德虎林街口,25.0383,121.5762,30,17,13,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500112081,信義區,YouBike2.0_松仁路95巷口,25.03656,121.56866,60,5,54,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500113010,萬華區,YouBike2.0_青年公園籃球場,25.02085,121.50539,24,1,23,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500113014,萬華區,YouBike2.0_莒光郵局,25.03124,121.50122,22,14,8,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500113031,萬華區,YouBike2.0_糖廍文化園區,25.03383,121.4946,18,6,9,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500113048,萬華區,YouBike2.0_臺北市電影主題公園(康定路),25.04551,121.50318,15,1,14,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500113069,萬華區,YouBike2.0_莒光社會住宅,25.0317,121.50033,30,7,23,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500119051,臺大公館校區,YouBike2.0_臺大立體機車停車場,25.01616,121.54251,27,4,23,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500119061,臺大公館校區,YouBike2.0_臺大鹿鳴堂東側,25.01511,121.53786,39,5,34,1,2025-05-25 04:26:30
2025-05-24T20:35+00:00,500119066,臺大公館校區,YouBike2.0_臺大凝態館南側,25.02157,121.53633,20,1,19,1,2025-05-25 04:25:29
2025-05-24T20:35+00:00,500119080,臺大公館校區,YouBike2.0_臺大小小福西南側,25.01539,121.53686,10,4,6,1,2025-05-25 04:25:29
